name,stage,nCells,nSweeps,ampF,ampS,ampC,nEdges,largest,encoding,gamma,selassort,rLatSel,rLatDist,rSelDist,nEns,maxModul,clustCompact,clustPref
140718a,46,206,60,6.08,8.94,7.86,42230,109,0.65,-1.8,-0.01,-0.3,0.62,-0.26,7,0.1,0.82,0.99
140716b,46,114,60,6.17,7.54,9.35,12882,51,0.72,-1.61,0.13,-0.45,0.58,-0.47,10,0.06,0.69,2.5
140716a,46,141,60,4.22,6.37,7.23,19740,77,0.68,-1.71,0.25,-0.3,0.66,-0.58,5,0.09,0.74,1.88
140715,46,95,60,6.16,6.46,7.24,8930,39,0.53,-1.28,0.01,-0.26,0.42,-0.29,14,0.16,0.77,0.98
140711,46,94,60,4.74,8.8,8.37,8742,43,0.7,-1.23,0.18,-0.28,0.38,-0.56,10,0.12,0.68,1.15
140708b,46,98,60,5.96,10.16,8.75,9506,45,0.63,-1.43,-0.03,-0.27,0.41,-0.2,7,0.13,0.69,1.94
140708a,46,133,60,5.78,8.66,8.91,17556,81,0.47,-1.76,0.09,-0.43,0.47,-0.69,9,0.11,0.76,1.1
140705a,46,111,60,4.95,9.19,7.76,12210,55,0.5,-1.56,0.25,-0.51,0.63,-0.78,7,0.11,0.74,1.33
140704b,46,84,60,6.25,6.55,6.16,6972,46,0.4,-1.49,-0.05,-0.19,-0.17,-0.12,25,0.17,0.48,0.3
140704a,46,92,60,5.3,8.44,5.53,8372,44,0.8,-1.37,-0.1,-0.15,0.38,-0.083,13,0.17,0.57,1.32
140627,46,99,60,9.68,9.61,9.17,9702,56,0.47,-1.48,-0.12,-0.29,0.66,-0.38,8,0.12,0.68,0.88
140626,46,85,60,6.27,9.83,8.86,7140,37,0.5,-1.25,0.12,-0.16,0.25,-0.53,14,0.21,0.68,1.13
140610,46,93,60,4.88,6.11,6.02,8556,48,0.57,-1.33,0.11,-0.25,0.25,0.21,14,0.21,0.8,1.11
140516,46,107,60,4.09,6.94,7.51,11342,52,0.7,-1.35,0.21,-0.26,0.48,-0.51,5,0.2,0.82,1.48
140726,49,135,60,6.35,9.78,8.63,18090,84,0.65,-1.85,0.03,-0.21,0.33,-0.52,10,0.05,0.77,1.1
140724,49,178,72,4.35,5.33,7.47,31506,99,0.88,-1.7,0.16,-0.29,0.5,-0.45,5,0.03,0.77,2.34
140723,49,165,72,7.12,11.79,9.13,27060,77,0.67,-1.54,0.22,-0.46,0.37,-0.29,6,0.07,0.75,0.93
140722,49,102,60,5.15,8.51,5.42,10302,66,0.63,-1.77,0.25,-0.28,0.31,-0.45,10,0.1,0.85,1.15
140718b,49,114,72,9.28,12.84,11.86,12882,62,0.54,-1.46,0.14,-0.029,0.17,0.25,3,0.03,0.61,0.97
140714,49,128,60,7.13,8.82,7.24,16256,72,0.57,-1.6,-0.08,-0.16,0.37,0.015,4,0.07,0.69,1.65
140710,49,116,60,6.89,8.88,9.19,13340,69,0.63,-1.72,-0.01,0.03,0.47,-0.12,6,0.03,0.62,1.51
140709,49,152,72,10.07,12.8,10.87,22952,72,0.69,-1.59,0.05,-0.51,0.66,-0.69,5,0.03,0.76,0.98
140707,49,170,60,7.7,8.76,10.42,28730,113,0.57,-2.12,0.18,0.23,0.63,0.31,3,0.03,0.76,1.34
140705b,49,122,60,8,7.38,8.31,14762,86,0.47,-1.83,0.03,0.24,0.38,0.45,3,0.09,0.72,1.24
140612,49,104,60,7.36,7.06,7.12,10712,75,0.57,-1.85,0.07,-0.26,0.036,0.37,13,0.09,0.71,0.59
140521,49,160,60,3.91,5.63,7.13,25440,131,0.85,-2.2,-0.03,-0.26,0.36,-0.26,19,0.12,0.8,0.86
140328,49,229,60,4.72,6.48,6.54,52212,167,0.42,-2.36,-0.05,-0.12,0.2,-0.23,25,0.17,0.85,0.33
140314,49,221,36,6.31,7.89,6.18,48620,106,0.5,-1.75,-0.05,0.013,0.1,0.11,4,0.16,0.81,3.39
140311,49,88,72,3.59,4.12,4.22,7656,67,0.81,-1.82,0.05,-0.29,0.014,-0.2,44,0.22,0.56,0
140310,49,109,12,8.09,8.26,8.62,11772,91,0.5,-2.01,0.1,-0.15,-0.29,0.19,10,0.2,0.93,0.93
